Land Area,County Name
1062.6,Anderson County
1500.7,Andrews County
797.8,Angelina County
252.1,Aransas County
903.3,Archer County
909.1,Armstrong County
1219.5,Atascosa County
646.5,Austin County
827,Bailey County
791,Bandera County
888.2,Bastrop County
867.5,Baylor County
880.2,Bee County
1053.8,Bell County
1240.3,Bexar County
709.3,Blanco County
897.4,Borden County
983,Bosque County
885,Bowie County
1363.3,Brazoria County
586.1,Brazos County
6183.8,Brewster County
900,Briscoe County
943.4,Brooks County
944.5,Brown County
659.1,Burleson County
994.8,Burnet County
545.2,Caldwell County
506.8,Calhoun County
899.4,Callahan County
891.7,Cameron County
195.8,Camp County
920.2,Carson County
936.9,Cass County
894.4,Castro County
597.2,Chambers County
1053,Cherokee County
696.5,Childress County
1088.8,Clay County
775.1,Cochran County
911.6,Coke County
1262.9,Coleman County
841.3,Collin County
918.4,Collingsworth County
960.3,Colorado County
559.5,Comal County
937.8,Comanche County
983.8,Concho County
874.8,Cooke County
1052.2,Coryell County
900.6,Cottle County
785.1,Crane County
2807.3,Crockett County
900.2,Crosby County
3812.2,Culberson County
1503.1,Dallam County
873,Dallas County
900.3,Dawson County
1496.8,Deaf Smith County
256.8,Delta County
878.5,Denton County
909,DeWitt County
901.7,Dickens County
1328.9,Dimmit County
926.9,Donley County
1793.5,Duval County
926.5,Eastland County
897.8,Ector County
2117.9,Edwards County
935.9,Ellis County
1013.2,El Paso County
1083.2,Erath County
765.5,Falls County
890.8,Fannin County
949.9,Fayette County
899,Fisher County
992.1,Floyd County
704.4,Foard County
861.7,Fort Bend County
284.4,Franklin County
877.7,Freestone County
1133.5,Frio County
1502.4,Gaines County
379,Galveston County
893.4,Garza County
1058.2,Gillespie County
900.2,Glasscock County
852,Goliad County
1066.7,Gonzales County
926,Gray County
932.8,Grayson County
273.4,Gregg County
787.5,Grimes County
711.3,Guadalupe County
1004.7,Hale County
883.5,Hall County
835.9,Hamilton County
919.8,Hansford County
695.1,Hardeman County
890.6,Hardin County
1706.2,Harris County
900.1,Harrison County
1462,Hartley County
903.1,Haskell County
676.9,Hays County
906.3,Hemphill County
873.8,Henderson County
1570.8,Hidalgo County
958.9,Hill County
908.4,Hockley County
420.7,Hood County
767.4,Hopkins County
1231,Houston County
900.8,Howard County
4570.5,Hudspeth County
840.4,Hunt County
887.4,Hutchinson County
1051.5,Irion County
911,Jack County
829.4,Jackson County
938.7,Jasper County
2264.6,Jeff Davis County
876.8,Jefferson County
1136.2,Jim Hogg County
865.2,Jim Wells County
724.7,Johnson County
928.6,Jones County
747.8,Karnes County
780.9,Kaufman County
662.5,Kendall County
1458.6,Kenedy County
902.5,Kent County
1103.3,Kerr County
1251,Kimble County
910.9,King County
1360.5,Kinney County
881.3,Kleberg County
850.6,Knox County
907.3,Lamar County
1016.2,Lamb County
712.5,Lampasas County
1486.7,La Salle County
969.7,Lavaca County
629,Lee County
1073.2,Leon County
1158.3,Liberty County
905.4,Limestone County
932.2,Lipscomb County
1039.7,Live Oak County
934.1,Llano County
668.8,Loving County
895.6,Lubbock County
891.9,Lynn County
1065.6,McCulloch County
1036.7,McLennan County
1139.8,McMullen County
466.1,Madison County
380.9,Marion County
915,Martin County
928.8,Mason County
1092.9,Matagorda County
1279.5,Maverick County
1325.4,Medina County
902,Menard County
900.4,Midland County
1016.7,Milam County
748.2,Mills County
911.1,Mitchell County
930.9,Montague County
1042.3,Montgomery County
899.7,Moore County
252,Morris County
989.6,Motley County
946.6,Nacogdoches County
1009.6,Navarro County
933.7,Newton County
912,Nolan County
839.1,Nueces County
917.7,Ochiltree County
1500.5,Oldham County
333.8,Orange County
952.5,Palo Pinto County
811.4,Panola County
903.7,Parker County
880.8,Parmer County
4763.8,Pecos County
1057,Polk County
908.4,Potter County
3855.3,Presidio County
229.5,Rains County
912.7,Randall County
1175.3,Reagan County
699.2,Real County
1043.9,Red River County
2635.4,Reeves County
770.5,Refugio County
924.1,Roberts County
855.2,Robertson County
127.2,Rockwall County
1051.1,Runnels County
924,Rusk County
491.7,Sabine County
530.7,San Augustine County
569.2,San Jacinto County
693.4,San Patricio County
1135.3,San Saba County
1310.6,Schleicher County
905.4,Scurry County
914.3,Shackelford County
795.6,Shelby County
922.9,Sherman County
921.5,Smith County
186.5,Somervell County
1223.2,Starr County
896.7,Stephens County
923.4,Sterling County
916.3,Stonewall County
1453.9,Sutton County
890.2,Swisher County
865.3,Tarrant County
915.5,Taylor County
2358,Terrell County
888.8,Terry County
912.6,Throckmorton County
406.1,Titus County
1522,Tom Green County
993.5,Travis County
693.8,Trinity County
924.4,Tyler County
583,Upshur County
1241.3,Upton County
1551.9,Uvalde County
3144.7,Val Verde County
842.6,Van Zandt County
882.1,Victoria County
784.2,Walker County
513.3,Waller County
835.6,Ward County
604.2,Washington County
3361.5,Webb County
1086.2,Wharton County
914.5,Wheeler County
627.6,Wichita County
970.9,Wilbarger County
590.6,Willacy County
1115.5,Williamson County
803.7,Wilson County
841.3,Winkler County
904.4,Wise County
645.2,Wood County
799.7,Yoakum County
914.5,Young County
998.4,Zapata County
1297.4,Zavala County
