State,countyFIPS,County Name,population,2/5/2020,2/19/2020,3/4/2020,3/18/2020,4/1/2020,4/15/2020,4/29/2020,5/13/2020,5/27/2020,6/10/2020,6/24/2020,7/8/2020,7/22/2020,8/5/2020,8/19/2020,9/2/2020,9/16/2020,9/30/2020,10/14/2020,10/28/2020
CA,6000,Grand Princess Cruise Ship,0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,6001,Alameda County,1671329,0.0,0.0,1.0,30.0,328.0,603.0,606.0,610.0,871.0,984.0,1242.0,1970.0,2398.0,2493.0,3700.0,2859.0,1402.0,1286.0,942.0,1251.0
CA,6003,Alpine County,1129,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,6005,Amador County,39752,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,9.0,16.0,30.0,91.0,62.0,19.0,10.0,10.0,14.0,31.0
CA,6007,Butte County,219186,0.0,0.0,0.0,0.0,9.0,7.0,0.0,4.0,20.0,33.0,54.0,168.0,388.0,346.0,465.0,714.0,430.0,166.0,144.0,165.0
CA,6009,Calaveras County,45905,0.0,0.0,0.0,2.0,1.0,8.0,2.0,0.0,2.0,6.0,8.0,13.0,52.0,42.0,45.0,76.0,48.0,17.0,9.0,16.0
CA,6011,Colusa County,21547,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,7.0,84.0,144.0,117.0,59.0,48.0,33.0,36.0,10.0,8.0
CA,6013,Contra Costa County,1153526,0.0,0.0,1.0,40.0,209.0,365.0,247.0,218.0,295.0,423.0,725.0,1718.0,1961.0,2122.0,3562.0,2225.0,1433.0,1352.0,970.0,1011.0
CA,6015,Del Norte County,27812,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,39.0,4.0,2.0,9.0,21.0,11.0,22.0,12.0,9.0,11.0,27.0,9.0
CA,6017,El Dorado County,192843,0.0,0.0,0.0,0.0,18.0,17.0,9.0,16.0,21.0,30.0,42.0,111.0,222.0,216.0,175.0,103.0,71.0,99.0,113.0,105.0
CA,6019,Fresno County,999101,0.0,0.0,0.0,3.0,79.0,183.0,273.0,476.0,617.0,687.0,1574.0,3032.0,4488.0,4860.0,5526.0,3744.0,1770.0,1309.0,958.0,1517.0
CA,6021,Glenn County,28393,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,10.0,51.0,79.0,98.0,95.0,77.0,44.0,72.0,58.0,38.0,44.0
CA,6023,Humboldt County,135558,0.0,0.0,1.0,0.0,27.0,24.0,2.0,13.0,31.0,7.0,17.0,35.0,43.0,45.0,88.0,64.0,82.0,30.0,33.0,26.0
CA,6025,Imperial County,181215,0.0,0.0,0.0,2.0,41.0,74.0,202.0,328.0,796.0,1943.0,2163.0,1915.0,1335.0,747.0,758.0,442.0,689.0,473.0,426.0,649.0
CA,6027,Inyo County,18039,0.0,0.0,0.0,0.0,9.0,8.0,2.0,0.0,0.0,3.0,5.0,7.0,6.0,24.0,85.0,33.0,5.0,1.0,21.0,31.0
CA,6029,Kern County,900202,0.0,0.0,0.0,0.0,126.0,427.0,313.0,477.0,598.0,1001.0,1166.0,1651.0,5429.0,10245.0,5751.0,2418.0,1474.0,1052.0,1017.0,969.0
CA,6031,Kings County,152940,0.0,0.0,0.0,0.0,5.0,8.0,67.0,268.0,354.0,986.0,546.0,521.0,845.0,853.0,1178.0,754.0,740.0,726.0,250.0,145.0
CA,6033,Lake County,64386,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,11.0,11.0,11.0,59.0,58.0,54.0,69.0,69.0,68.0,15.0,206.0,63.0
CA,6035,Lassen County,30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,23.0,14.0,17.0,638.0,12.0,14.0,12.0,8.0,16.0
CA,6037,Los Angeles County,10039107,1.0,0.0,6.0,183.0,3328.0,6978.0,11989.0,11943.0,14272.0,18364.0,22426.0,33514.0,41866.0,33042.0,27915.0,18108.0,12213.0,14151.0,14717.0,18353.0
CA,6039,Madera County,157327,0.0,0.0,0.0,1.0,24.0,8.0,13.0,23.0,25.0,84.0,192.0,487.0,673.0,584.0,1122.0,640.0,354.0,327.0,251.0,249.0
CA,6041,Marin County,258826,0.0,0.0,0.0,15.0,93.0,63.0,64.0,40.0,155.0,205.0,379.0,1887.0,393.0,1896.0,642.0,398.0,246.0,253.0,210.0,168.0
CA,6043,Mariposa County,17203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,5.0,10.0,10.0,18.0,2.0,12.0,2.0,1.0,1.0,3.0
CA,6045,Mendocino County,86749,0.0,0.0,0.0,1.0,3.0,0.0,8.0,1.0,12.0,11.0,36.0,26.0,129.0,129.0,223.0,137.0,92.0,146.0,101.0,99.0
CA,6047,Merced County,277680,0.0,0.0,0.0,0.0,10.0,68.0,40.0,62.0,98.0,109.0,354.0,961.0,1292.0,1766.0,2469.0,893.0,523.0,316.0,325.0,302.0
CA,6049,Modoc County,8841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,15.0,18.0
CA,6051,Mono County,14444,0.0,0.0,0.0,0.0,18.0,5.0,3.0,7.0,2.0,2.0,3.0,8.0,43.0,56.0,15.0,0.0,1.0,3.0,7.0,9.0
CA,6053,Monterey County,434061,0.0,0.0,0.0,2.0,40.0,58.0,106.0,160.0,182.0,243.0,606.0,873.0,1275.0,1504.0,1736.0,1364.0,940.0,998.0,740.0,711.0
CA,6055,Napa County,137744,0.0,0.0,0.0,0.0,18.0,20.0,29.0,14.0,28.0,52.0,90.0,202.0,232.0,322.0,275.0,170.0,123.0,149.0,108.0,160.0
CA,6057,Nevada County,99755,0.0,0.0,0.0,1.0,25.0,8.0,7.0,0.0,0.0,9.0,41.0,64.0,87.0,75.0,77.0,56.0,46.0,45.0,35.0,56.0
CA,6059,Orange County,3175692,1.0,0.0,2.0,39.0,564.0,770.0,876.0,1497.0,1897.0,2091.0,3279.0,9209.0,11518.0,6388.0,6376.0,4438.0,2314.0,2492.0,2532.0,2930.0
