State,countyFIPS,County Name,population,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020
CA,6000,Grand Princess Cruise Ship,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
CA,6001,Alameda County,1671329,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,7,7,15,18,27,31,35,45,65,106,122,124,135,163,220,256,270,283,313,359,396,443,537,566,588,634,674,713,766,806,843,884,884,962,1007,1061,1114,1164,1191,1239,1280,1350,1401,1437,1468,1498,1533,1568,1603,1636,1705,1749,1776,1809,1863,1917,1961,2023,2064,2101,2133,2178,2234,2300,2351,2392,2457,2522,2560,2609,2708,2767,2847,2874,2986,3049,3097,3195,3289,3390,3470,3515,3548,3641,3725,3805,3874,3945,3985,4033,4119,4216,4270,4320,4373,4481,4533,4638,4702,4805,4805,5007,5140,5275,5382,5493,5608,5670,5762,5964,6156,6384,6472,6556,6855,6887,6887,7245,7407,7485,7725,7725,7976,8321,8478,8627,8858,9110,9237,9256,9383,9643,9869,10214,10330,10370,10438,10633,10773,11131,11131,11484,11524,11846,11909,12136,12136,12136,12136,13199,13218,13664,14099,14229,14558,14558,15123,15130,15437,15836,16184,16469,16693,16723,16733,17275,17385,17621,17847,17847,18040,18187,18445,18695,18852,18977,19131,19131,19350,19350,19596,19710,19819,19837,19991,20022,20097,20097,20162,20364,20494,20558,20641,20748,20839,20951,21028,21136,21189,21240,21323,21383,21458,21508,21621,21708,21746,21809,21845,21938,21942,22072,22149,22149,22279,22325,22370,22408,22459,22636,22738,22807,22932,23001,23133,23215,23312,23391,23391,23576,23636,23775
CA,6003,Alpine County,1129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CA,6005,Amador County,39752,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,13,13,13,16,19,20,20,20,21,22,22,24,26,26,31,31,33,34,35,36,37,40,40,40,45,48,49,49,51,54,57,62,65,67,71,76,81,84,89,110,115,121,126,126,135,137,156,156,164,164,182,182,195,198,207,208,208,210,211,216,218,218,221,221,221,224,226,231,232,232,234,234,236,237,237,237,237,237,237,239,239,241,241,242,242,242,242,247,247,248,249,249,249,251,252,252,253,254,254,254,257,257,257,259,259,259,259,259,264,265,266,267,267,267,269,270,271,272,272,272,272,276,276,276,287,291,291,291,299,301,302,308,311
CA,6007,Butte County,219186,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,5,5,5,8,8,9,10,11,11,11,12,13,13,13,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,20,20,20,22,22,22,22,24,26,30,31,34,34,34,34,40,40,40,44,44,44,51,51,55,60,65,65,65,68,71,73,73,74,74,74,82,88,90,90,94,94,94,111,119,127,133,143,143,143,168,175,189,206,206,206,206,268,275,295,319,338,338,338,376,416,437,487,522,522,522,640,658,683,722,758,758,758,820,866,883,907,941,941,941,980,1012,1029,1060,1095,1095,1095,1238,1280,1305,1321,1370,1370,1370,1421,1463,1494,1537,1555,1555,1555,1664,1699,1744,1815,1848,1848,1848,2026,2146,2208,2254,2327,2327,2327,2327,2463,2463,2463,2550,2550,2550,2592,2638,2638,2674,2688,2688,2688,2720,2732,2744,2744,2774,2774,2774,2795,2804,2804,2824,2840,2840,2840,2874,2880,2886,2907,2914,2914,2914,2944,2946,2948,2958,2961,2961,2961,3002,3015,3018,3030,3047,3047,3047,3073,3073,3113,3127,3144
CA,6009,Calaveras County,45905,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5,8,8,8,8,9,9,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,16,19,19,19,19,21,21,25,26,26,26,26,26,26,26,28,28,28,28,29,29,29,32,32,32,32,32,32,42,42,42,42,42,42,42,42,67,67,67,67,75,75,75,87,87,87,87,94,94,94,94,95,96,99,108,108,108,125,125,125,125,136,136,136,136,136,136,136,161,161,161,174,174,174,174,181,181,181,197,197,197,197,223,223,223,236,236,236,236,257,257,257,273,273,273,273,286,286,286,298,298,298,298,305,305,305,311,311,311,311,314,314,314,317,317,317,317,322,322,322,324,324,324,324,329,329,329,330,330,330,330,331,331,331,333,333,333,333,339,339,339,342,342,342,342,342,347,347,354
CA,6011,Colusa County,21547,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,14,16,17,17,17,35,50,59,70,70,70,70,83,86,98,103,113,113,113,129,135,140,147,173,173,173,223,234,242,250,263,263,263,273,292,304,312,323,323,323,331,357,359,361,362,362,362,391,396,397,401,409,409,409,415,418,418,418,419,419,419,426,429,434,439,441,441,441,445,456,466,467,470,470,470,470,478,485,487,489,489,489,496,499,499,502,509,509,509,519,522,524,527,529,529,529,532,535,535,538,538,538,538,539,540,541,541,543,543,543,543,543,545,545,545,545,545,547,548,549,549,550,550,550,551,551,553,555,557
CA,6013,Contra Costa County,1153526,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,9,9,10,10,10,25,29,29,34,39,41,42,46,51,61,71,86,108,131,151,168,175,187,222,250,276,307,353,386,417,442,462,484,511,530,539,552,600,615,631,648,685,693,707,749,763,770,786,805,817,820,842,862,891,907,934,945,947,969,985,999,1014,1036,1048,1048,1066,1080,1089,1100,1121,1146,1155,1192,1209,1234,1259,1296,1321,1336,1353,1375,1384,1404,1426,1450,1468,1506,1513,1547,1577,1633,1668,1706,1774,1798,1829,1877,1921,1959,1983,2026,2071,2111,2148,2240,2294,2369,2454,2523,2576,2676,2688,2802,2971,3132,3248,3326,3432,3564,3662,3878,4092,4241,4357,4460,4605,4661,4852,5023,5140,5233,5378,5538,5606,5731,5931,6202,6425,6627,6770,6933,7073,7304,7577,7577,7670,7806,7966,8033,8176,8324,8532,8760,9022,9182,9404,9787,10103,10482,10756,11013,11228,11408,11668,11886,12046,12362,12527,12663,12663,13123,13259,13398,13562,13700,13802,13938,14035,14111,14212,14411,14527,14639,14712,14712,14885,14966,15058,15203,15351,15424,15489,15544,15640,15734,15835,15958,16056,16156,16238,16327,16469,16640,16640,16702,16793,16896,16973,17069,17159,17263,17322,17365,17420,17478,17546,17624,17732,17783,17834,17866,17945,17997,18054,18157,18214,18273,18342,18413,18523,18621,18694,18763,18763,18877,18981,19086
CA,6015,Del Norte County,27812,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,8,12,14,15,20,23,23,23,37,40,43,44,44,45,45,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,49,49,49,49,50,50,50,51,51,51,55,58,58,58,58,58,58,60,60,60,61,61,61,62,62,66,66,66,68,79,84,87,87,87,88,88,88,88,88,88,88,90,90,90,90,99,99,99,100,104,104,105,106,106,106,108,108,112,114,116,116,116,116,121,121,122,122,122,122,123,123,124,124,124,124,124,124,124,128,128,129,129,129,133,133,133,135,136,136,136,138,138,138,139,139,139,139,139,144,144,144,146,146,146,152,155,160,167,169,169,169,170,170,171,173,173,173,173,175,175,175,178,178,178,178,180,180,180,181,181
CA,6017,El Dorado County,192843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,9,12,12,12,15,18,18,19,22,22,22,25,28,29,30,32,32,32,34,35,35,35,36,36,36,38,39,39,40,42,42,42,43,44,44,44,47,47,47,53,53,54,54,54,54,54,56,60,60,62,64,64,64,67,67,67,67,74,74,74,78,80,81,84,84,90,90,96,96,98,102,106,106,106,109,111,111,111,113,113,113,117,118,121,125,130,130,130,145,150,153,158,158,158,158,178,184,198,206,226,226,226,262,264,264,292,307,307,307,337,350,363,381,381,394,394,443,464,486,508,513,513,513,555,579,589,613,637,637,637,637,668,702,716,729,729,729,755,785,793,793,827,827,827,849,871,877,885,896,896,896,924,932,935,942,951,951,951,967,973,980,988,1001,1001,1001,1008,1008,1019,1025,1032,1032,1032,1046,1051,1051,1058,1064,1064,1064,1073,1078,1087,1098,1109,1109,1109,1140,1143,1150,1158,1180,1180,1180,1207,1216,1229,1232,1239,1239,1239,1259,1261,1263,1271,1275,1275,1275,1290,1302,1306,1308,1315,1315,1315,1351,1351,1368,1380,1388
